Updates,num timesteps,FPS,Last num training episodes,success rate
1670,133680,31,100,0.21
1680,134480,31,100,0.21
1690,135280,31,100,0.21
1700,136080,31,100,0.21
1710,136880,31,100,0.23
1720,137680,31,100,0.23
1730,138480,31,100,0.21
1740,139280,31,100,0.22
1750,140080,31,100,0.22
1760,140880,32,100,0.23
1770,141680,32,100,0.23
1780,142480,32,100,0.23
1790,143280,32,100,0.22
1800,144080,32,100,0.23
1810,144880,32,100,0.21
1820,145680,32,100,0.2
1830,146480,32,100,0.2
1840,147280,32,100,0.2
1850,148080,32,100,0.19
1860,148880,32,100,0.22
1870,149680,32,100,0.22
1880,150480,32,100,0.22
1890,151280,32,100,0.21
1900,152080,32,100,0.2
1910,152880,32,100,0.2
1920,153680,33,100,0.19
1930,154480,33,100,0.19
1940,155280,33,100,0.2
1950,156080,33,100,0.21
1960,156880,33,100,0.22
1970,157680,33,100,0.22
1980,158480,33,100,0.2
1990,159280,33,100,0.2
2000,160080,33,100,0.21
2010,160880,33,100,0.2
2020,161680,33,100,0.2
2030,162480,33,100,0.19
2040,163280,33,100,0.19
2050,164080,33,100,0.2
2060,164880,33,100,0.2
2070,165680,33,100,0.19
2080,166480,33,100,0.2
2090,167280,33,100,0.2
2100,168080,33,100,0.21
2110,168880,34,100,0.22
2120,169680,34,100,0.2
